ID	w1	L1	c1	pc	spelling	coca	pcoca	pbnc	psoap	ph3	ph2	ph1	pc1	pc2	pc3	pc4	pc5	pb1	pb2	pb3	pb4	pb5	pb6	pb7	tpcoca	tpbnc	tpsoap	tph3	tph2	tph1	tpc1	tpc2	tpc3	tpc4	tpc5	tpb1	tpb2	tpb3	tpb4	tpb5	tpb6	tpb7	bnc	fs	fh3	fh2	fh1	fc1	fc2	fc3	fc4	fc5	fb1	fb2	fb3	fb4	fb5	fb6	fb7	tcoca	tbnc	tsoap	th3	th2	th1	tc1	tc2	tc3	tc4	tc5	tb1	tb2	tb3	tb4	tb5	tb6	tb7	
31	n't	n't	xx	0.00	  	1858869	4003.34	3121.79	16719.66	3994.95	3383.91	1476.13	5930.53	6874.67	3323.43	3326.34	524.66	12524.41	7291.26	2351.56	1772.33	694.93	213.68	1009.11	0.81	0.81	1.00	0.35	0.25	0.24	0.88	0.91	0.82	0.88	0.41	0.99	0.99	0.99	0.86	0.80	0.45	0.68	312179	1671966	390120	404047	193280	566752	621672	317583	305083	47779	124789	115999	17077	18550	11463	3276	21025	154096	3275	21985	14865	9744	2655	33856	17483	43644	50330	8783	889	460	209	443	426	225	623
32	she	she	pp	0.31	  	1719851	3703.94	3502.93	6541.06	4766.87	5094.24	3979.68	2669.73	10597.55	2318.97	2375.72	737.95	4299.22	14331.42	1375.38	2058.11	789.44	524.40	1289.31	0.52	0.77	1.00	0.24	0.27	0.45	0.55	0.86	0.44	0.50	0.40	0.73	0.99	0.95	0.79	0.73	0.71	0.69	350293	654106	465500	608265	521087	255133	958330	221598	217895	67202	42836	228003	9988	21541	13022	8040	26863	97964	3103	21945	10257	10504	4934	21160	16534	23363	28314	8593	657	460	201	407	389	356	633
33	by	by	ii	0.07	  	1698219	3657.35	4970.02	843.60	4044.83	4377.11	5410.28	2263.67	2308.32	4287.56	3981.03	5472.23	1691.15	2617.40	5085.93	6083.93	6656.25	7210.76	5641.95	0.93	0.96	0.94	0.90	0.87	0.97	0.87	0.90	0.93	0.97	1.00	0.87	0.99	1.00	1.00	1.00	1.00	0.99	497002	84360	394991	522638	708406	216328	208740	409714	365130	498335	16850	41641	36934	63677	109796	110553	117551	176686	3904	20774	38424	34368	10580	33521	17312	49392	55265	21196	781	460	210	516	533	501	903
34	or	or	cc	0.03	  	1562165	3364.34	3603.12	1799.99	3052.12	3106.84	3789.55	2765.96	2394.77	4190.39	2913.76	4542.04	3472.52	2288.03	3330.77	1684.82	3894.29	5649.55	4638.12	0.91	0.97	0.99	0.67	0.64	0.89	0.88	0.88	0.90	0.91	0.99	0.96	0.99	1.00	0.94	1.00	1.00	0.98	360312	179999	298049	370965	496192	264329	216558	400428	267243	413626	34599	36401	24188	17634	64237	86617	96636	171369	3948	21723	28392	25430	9731	33732	16955	47833	51863	20986	863	460	210	488	533	499	895
35	do	do	vd0	0.10	  	1520565	3274.75	2673.82	13867.03	4785.79	4390.99	3581.56	6461.02	3888.80	2494.13	2259.69	1164.80	9914.33	4379.57	2081.52	1347.55	1156.09	1103.73	1617.99	0.85	0.96	1.00	0.47	0.45	0.73	0.92	0.90	0.80	0.84	0.84	1.00	1.00	0.99	0.91	0.98	0.98	0.93	267382	1386703	467348	524295	468958	617448	351662	238336	207253	106074	98783	69676	15116	14104	19070	16922	33711	161083	3910	21985	20205	17928	7949	35419	17293	42468	47981	17922	900	463	209	473	522	489	854
36	an	a	at	0.05	  	1495549	3220.88	3328.48	1300.66	3202.42	3204.65	3160.54	2655.20	2537.05	3577.25	3463.09	3875.66	1913.15	2607.59	3403.47	3508.27	3805.35	4383.67	3882.24	0.94	0.97	0.98	0.84	0.77	0.92	0.91	0.90	0.93	0.97	0.99	0.92	1.00	1.00	0.97	1.00	1.00	0.98	332848	130066	312727	382643	413832	253744	229424	341837	317626	352942	19062	41485	24716	36719	62770	67209	80887	177868	3931	21535	35926	30656	9962	34806	17322	49320	55299	21121	826	462	210	505	532	501	895
37	as	as	cs	0.09	  	1480797	3189.10	3550.69	1479.02	3808.62	4497.30	5471.18	2495.47	4051.67	3087.89	2618.17	3742.28	2417.38	4777.52	3117.88	2709.14	3665.13	4425.48	3631.94	0.91	0.97	0.98	0.79	0.75	0.93	0.88	0.93	0.88	0.93	0.98	0.94	0.98	1.00	0.97	1.00	1.00	0.97	355069	147902	371924	536989	716379	238480	366390	295075	240132	340795	24086	76007	22642	28355	60457	67850	75672	172602	3941	21467	33724	29864	10146	33838	17945	46928	53012	20879	848	456	210	501	533	501	892
38	had	have	vhd	0.01	  	1385700	2984.30	3840.86	1623.74	5487.46	5871.51	5238.17	2194.01	6579.40	2310.81	2176.10	1764.15	2266.64	9185.94	1953.60	3172.14	4056.09	2412.07	3075.81	0.75	0.93	0.99	0.68	0.70	0.82	0.77	0.90	0.63	0.77	0.81	0.89	0.99	1.00	0.93	0.99	0.96	0.86	384086	162374	535868	701073	685870	209671	594971	220818	199586	160654	22584	146142	14187	33201	66906	36981	64085	141577	3750	21750	28951	27560	8936	29455	17315	33423	44208	17176	802	460	210	480	527	479	792
39	what	what	dd	0.27	  	1361267	2931.68	2386.01	10900.68	2729.62	2420.75	2220.15	5531.55	3751.91	2066.43	1813.09	1427.86	7585.16	3891.12	1570.92	1177.00	1316.20	1557.76	1526.22	0.83	0.96	1.00	0.51	0.48	0.73	0.94	0.91	0.76	0.82	0.82	0.99	1.00	1.00	0.91	0.99	0.96	0.91	238601	1090068	266556	289044	290700	528623	339283	197465	166292	130030	75576	61905	11408	12319	21711	23883	31799	157904	3876	21985	21872	18856	7974	35968	17560	40434	46597	17345	888	462	210	473	528	483	832
40	were	be	vbdr	0.01	  	1239291	2668.99	3085.87	2249.43	3141.87	3336.39	3412.86	2661.06	3090.54	2006.16	2086.09	3541.09	2853.47	3526.17	1968.74	2923.35	4015.41	3603.13	2768.69	0.79	0.94	1.00	0.67	0.69	0.86	0.82	0.89	0.67	0.81	0.91	0.90	0.99	1.00	0.94	0.99	0.97	0.91	308587	224943	306814	398373	446870	254304	279476	191706	191331	322474	28431	56099	14297	30597	66235	55242	57686	150096	3810	21882	28374	27499	9365	31411	17024	35871	46376	19414	808	460	210	486	530	487	829
41	their	their	appge	0.03	  	1236355	2662.66	2513.99	377.92	2409.79	2575.60	3422.34	2047.01	2083.17	2756.05	2675.11	3773.93	1327.93	1917.43	2609.20	3222.21	3150.19	3097.05	2665.88	0.85	0.94	0.73	0.69	0.68	0.87	0.81	0.85	0.80	0.89	0.96	0.83	0.99	1.00	0.97	1.00	0.99	0.96	251399	37792	235324	307533	448111	195623	188380	263365	245354	343677	13231	30505	18948	33725	51963	47483	55544	161126	3820	15976	29343	26792	9477	31199	16298	42457	50757	20415	743	460	210	500	533	496	878
42	all	all	db	0.13	  	1227134	2642.81	2740.55	5515.44	3158.55	3552.45	4025.07	3751.03	3238.46	2306.16	1963.88	1927.59	4410.53	3760.94	2803.09	2101.67	2190.15	2168.26	2810.30	0.89	0.98	1.00	0.68	0.68	0.89	0.92	0.93	0.85	0.88	0.96	0.98	1.00	1.00	0.96	1.00	0.99	0.99	274055	551544	308443	424171	527030	358467	292852	220374	180122	175538	43945	59834	20356	21997	36127	33243	58553	168755	3978	21983	28753	26802	9717	35351	17902	45020	50135	20347	878	463	210	495	533	496	903
43	has	have	vhz	0.01	  	1192491	2568.20	2534.05	1465.82	2240.56	2246.65	2164.54	2954.82	1035.48	2635.07	3715.04	2459.06	1651.50	878.92	3432.39	4456.16	2544.38	3005.09	3040.92	0.87	0.96	0.99	0.78	0.71	0.91	0.90	0.67	0.82	0.94	0.96	0.87	0.99	1.00	0.98	0.99	0.99	0.97	253405	146582	218798	268256	283418	282378	93638	251804	340734	223937	16455	13983	24926	46640	41970	46073	63358	165096	3871	21739	33045	27951	9909	34481	12870	43848	53432	20465	783	459	210	506	529	496	888
44	who	who	pn	0.04	  	1167096	2513.51	1966.89	1888.52	2368.36	2254.15	2589.52	2937.55	1974.67	2384.81	3311.93	1934.31	1823.53	1989.97	2002.07	3235.11	1886.13	1657.16	2013.09	0.86	0.94	0.99	0.73	0.67	0.88	0.88	0.88	0.77	0.92	0.89	0.86	0.99	1.00	0.96	0.99	0.95	0.94	196689	188852	231278	269151	339064	280727	178568	227889	303762	176150	18169	31659	14539	33860	31112	25407	41943	163211	3800	21719	30892	26645	9608	33789	16819	40889	52822	18892	774	461	210	497	526	475	857
45	her	her	appge	0.05	  	1127332	2427.87	2025.24	1698.58	2835.73	3405.50	3756.88	1246.51	6922.85	1732.64	1577.22	790.83	725.54	8207.65	985.40	1648.22	693.84	515.34	1006.18	0.48	0.74	0.98	0.25	0.30	0.52	0.45	0.85	0.43	0.44	0.44	0.59	0.99	0.95	0.78	0.72	0.75	0.72	202524	169858	276918	406625	491914	119123	626029	165569	144659	72018	7229	130578	7156	17251	11445	7901	20964	90723	3010	21444	10487	12030	5691	17352	16240	22912	24941	9278	526	460	200	405	383	375	661
